SearchName,PreferredFoot
Daniel Carrico~Daniel Carriço,Right
Sebastian Rudy,Right
Eder~Éder,Right
Chris Smalling,Right
Alvaro Dominguez~Álvaro Domínguez,Left
Omer Damari,Left
Tony Jantschke,Right
Mana Dembele~Mana Dembélé,Right
Raul Meireles~Raúl Meireles,Right
Alan Kasaev,Right
Roman Shishkin,Right
Nasser Al Shamrani,Right
Lamine Sane~Lamine Sané,Right
Danijel Subasic~Danijel Subašic,Right
Iago Aspas,Left
Allan-Romeo Nyom~Allan-Roméo Nyom,Right
Kostas Manolas,Right
Idrissa Gueye,Right
Steven Caulker,Right
Christian Noboa,Right
Gary Medel,Right
Romulo~Rômulo,Right
Portillo,Right
Alper Potuk,Right
Yuto Nagatomo,Right
Neto,Right
Alfreð Finnbogason,Right
Daniel Caligiuri,Right
Pizzi,Right
Mattia Perin,Right
Marco Hoger~Marco Höger,Right
Marc Bartra,Right
Dmitriy Tarasov,Right
Vincent Aboubakar,Right
Jordy Clasie,Right
Anthony Lopes,Left
Cristian Rodriguez~Cristian Rodríguez,Left
Casemiro,Right
Paco Alcacer~Paco Alcácer,Right
Lucas Digne,Left
Mario Fernandes~Mário Fernandes,Right
Cedric~Cédric,Right
Mauro Icardi,Right
Layvin Kurzawa,Left
Jordan Obita,Left
Jese Rodriguez~Jesé Rodríguez,Right
Lucas Piazon,Right
Vincenzo Grifo,Right
Alessandro Florenzi,Right
Ruben Pardo~Rubén Pardo,Right
Michy Batshuayi,Right
Samuel Umtiti,Left
Vlad Chiriches~Vlad Chiriches,Right
Mattia De Sciglio,Right
Mohamed Salah,Left
Hernane,Right
Bruma,Right
Emre Belozoglu~Emre Belözoglu,Left
Pablo Perez~Pablo Pérez,Right
Geronimo Rulli~Gerónimo Rulli,Right
Balde Diao Keita,Right
Mapou Yanga-M'Biwa,Right
Bruno Ecuele Manga~Bruno Ecuélé Manga,Right
Cheick Tiote~Cheick Tioté,Right
Benjamin Stambouli,Right
Philipp Wollscheid,Right
Marco van Ginkel,Right
Milan Badelj,Right
Bibars Natkho,Right
Christian Abbiati,Right
Darron Gibson,Right
Wes Brown,Right
Andreas Isaksson,Right
David Pizarro,Right
Daniele Bonera,Right
Alexandr Kerzhakov,Right
Emiliano Moretti,Left
Etienne Didot,Right
Maurizio Domizzi,Left
Peter Crouch,Right
Kevin Nolan,Right
Heiko Westermann,Right
John Utaka,Right
Max Kruse,Left
